asset,Total Raised,Total supply,Private/Pre-sale,Public sale,R1 type,R1 date,R1 Price,R1 ROI,R1 ATH ROI,R1 Raise,R1 Tokens For Sale,R1 Lock-up,R1 Min/Max personal Cap,R2 type,R2 date,R2 Price,R2 ROI,R2 ATH ROI,R2 Raise,R2 Tokens For Sale,R2 Lock-up,R2 Min/Max personal Cap,R3 type,R3 date,R3 Price,R3 ROI,R3 ATH ROI,R3 Raise,R3 Tokens For Sale,R3 Lock-up,R3 Min/Max personal Cap,R4 type,R4 date,R4 Price,R4 ROI,R4 ATH ROI,R4 Raise,R4 Tokens For Sale,R4 Lock-up,R4 Min/Max personal Cap,R5 type,R5 date,R5 Price,R5 ROI,R5 ATH ROI,R5 Raise,R5 Tokens For Sale,R5 Lock-up,R5 Min/Max personal Cap
kyber-network,52000000,5402016,,,ICO ,2017-09,$ 0.380,6.16x ( +515.7% ),"15.79x ( +1,479.2% )","$ 52,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
floki-inu-new,91600,1000000000000,,2000000000,IEO ,2021-09,$ 0.0000458,0.28x ( -71.8% ),7.46x ( +646.4% ),"$ 91,600","2,000,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
storj,30000000,42499999,,,ICO ,2017-05,$ 0.500,1.59x ( +59.3% ),7.78x ( +677.8% ),"$ 30,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
band-protocol,10850158,10000000,,12368200,IEO ,2019-09,$ 0.473,5.71x ( +471.1% ),"48.75x ( +4,775% )","$ 5,850,158","12,368,200",,Depends on BNB Holdings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alpha-finance-lab,3670000,100000000,133333334,100000000,IEO ,2020-10,$ 0.02,"12.58x ( +1,157.7% )","146.15x ( +14,515.4% )","$ 2,000,000","100,000,000",No lockup,Allocation per winning ticket: 200 USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
goldfinch-finance,11000000,11428571,,,Seed ,2021-06,,,,"$ 11,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
biconomy,23160500,100000000,188800000,52000000,ICO ,2021-10,$ 0.250,3.6x ( +260.3% ),"83.92x ( +8,292.1% )","$ 10,000,000","40,000,000","3-month linear release, starting around November 23, 2021","$100 min,  $1,000 max",ICO ,2021-10,$ 0.150,6.01x ( +500.6% ),"139.87x ( +13,886.9% )","$ 1,500,000","10,000,000","10% unlock on or around November 23, 2021, followed by a 6-month cliff, and following that 6-month monthly release","$100 min,  $1,000 max",IEO ,2021-12,$ 0.300,3x ( +200.3% ),"69.93x ( +6,893.4% )","$ 600,000","2,000,000",,,,,,,,,,,,,,,,,,,,
reef,3900000,1746733487,4215238096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bifrost,,236858407,,1000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
metadium,,200000000,,49996600,ICO ,2018-09,$ 0.0425,1.5x ( +50.4% ),10.51x ( +951.5% ),,"49,996,600",,0.5/3 ETH (15 ETH for CEN Community members),Private/Pre-sale ,2018-09,$ 0.0325,1.97x ( +96.6% ),"13.75x ( +1,275% )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prometeus,4850000,2000000,4000000,850000,Private/Pre-sale ,2019-01,$ 1.00,6.58x ( +558.2% ),"106.38x ( +10,538.5% )","$ 4,000,000","4,000,000",,,ICO ,2019-05,$ 1.00,6.58x ( +558.2% ),"106.38x ( +10,538.5% )","$ 850,000","850,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
orchid-labs,48000000,100000000,,,Private/Pre-sale ,2017-10,,,,"$ 48,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
quarkchain,20000000,1000000000,,,ICO ,2018-06,$ 0.0197,0.78x ( -21.8% ),"17.34x ( +1,634% )","$ 20,000,000",,,"0.0001 ETH / 0.693 ETH for the first 12 hours, and will double every 6 hours afterwards.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gensokishi,200002,40000000,100000000,10526421,IDO ,2022-01,$ 0.019,"49.1x ( +4,809.5% )","87.4x ( +8,639.9% )","$ 200,002","10,526,421","28 months lock up, 3,5 months release cycle, released in 9 installments of 1/9 each",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
super-farm,1450000,99999807,,10000000,IDO ,2021-02,$ 0.025,"14.19x ( +1,319.1% )","189.33x ( +18,833.2% )","$ 250,000","10,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mango-markets,70462384,500000000,,,Seed ,2021-08,$ 0.141,0.68x ( -32.3% ),3.62x ( +261.8% ),"$ 70,462,384",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
