asset,Total Raised,Total supply,Private/Pre-sale,Public sale,R1 type,R1 date,R1 Price,R1 ROI,R1 ATH ROI,R1 Raise,R1 Tokens For Sale,R1 Lock-up,R1 Min/Max personal Cap,R2 type,R2 date,R2 Price,R2 ROI,R2 ATH ROI,R2 Raise,R2 Tokens For Sale,R2 Lock-up,R2 Min/Max personal Cap,R3 type,R3 date,R3 Price,R3 ROI,R3 ATH ROI,R3 Raise,R3 Tokens For Sale,R3 Lock-up,R3 Min/Max personal Cap,R4 type,R4 date,R4 Price,R4 ROI,R4 ATH ROI,R4 Raise,R4 Tokens For Sale,R4 Lock-up,R4 Min/Max personal Cap,R5 type,R5 date,R5 Price,R5 ROI,R5 ATH ROI,R5 Raise,R5 Tokens For Sale,R5 Lock-up,R5 Min/Max personal Cap
solana,25550000,50818096,180150000,8000000,Private ,2018-04,$ 0.04,"1876.43x ( +187,543.1% )","6495.26x ( +649,425.9% )","$ 3,170,000","79,300,000",,,Private/Pre-sale ,2018-06,$ 0.200,"375.29x ( +37,428.6% )","1299.05x ( +129,805.2% )","$ 12,630,000","63,150,000",,,Pre-sale ,2019-07,$ 0.225,"333.59x ( +33,258.8% )","1154.71x ( +115,371.3% )","$ 5,700,000","28,500,000",,,Private/Pre-sale ,2020-01,$ 0.250,"300.23x ( +29,922.9% )","1039.24x ( +103,824.1% )","$ 2,290,000","9,200,000",,,ICO ,2020-03,$ 0.220,"341.17x ( +34,016.9% )","1180.96x ( +117,995.6% )","$ 1,760,000","8,000,000",,
cardano,,4500000000,,,ICO ,2018-01,$ 0.02,"37.11x ( +3,610.7% )","154.33x ( +15,333.1% )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
luna,62000000,72562885,,,ICO ,2019-02,$ 0.800,"81.34x ( +8,034.3% )","149.02x ( +14,802% )","$ 62,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
avalanche,18390000,37775219,67800000,138000000,Private ,2019-02,$ 0.330,"154.71x ( +15,371% )","442.93x ( +44,193.4% )","$ 5,940,000","42,900,000",12 months,,Private ,2020-05,$ 0.500,"102.11x ( +10,110.9% )","292.34x ( +29,133.6% )","$ 12,450,000","24,900,000",12 months,,ICO ,2020-07,$ 0.500,"102.11x ( +10,110.9% )","292.34x ( +29,133.6% )",,"6,000,000",12 months,$100 / $25k,ICO ,2020-07,$ 0.850,"60.06x ( +5,906.4% )","171.96x ( +17,096.3% )",,"72,000,000",No lockup,$100 / $5k,ICO ,2020-07,$ 0.500,"102.11x ( +10,110.9% )","292.34x ( +29,133.6% )",,"60,000,000",18 months,$100 / 2.5M
tron,70000000,10190040918,,,ICO ,2017-09,$ 0.0019,"46.24x ( +4,524.1% )","158.09x ( +15,708.6% )","$ 70,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
near-protocol,10000000,100000000,,25000000,ICO ,2020-08,$ 0.400,"25.47x ( +2,447.4% )","51.27x ( +5,026.6% )","$ 10,000,000","25,000,000",40-day lock-up,"Min - 500 NEAR, Max - 100k NEAR",ICO ,2020-08,$ 0.340,"29.97x ( +2,897% )","60.31x ( +5,931.3% )",,,1-year linear lock-up,"Min - 500 NEAR, Max - 5M NEAR",ICO ,2020-08,$ 0.290,"35.14x ( +3,413.7% )","70.71x ( +6,971.1% )",,,2-year linear lock-up,"Min - 500 NEAR, Max - 5M NEAR",,,,,,,,,,,,,,,,,,
matic-network,5000000,1000000000,,1900000000,Private/Pre-sale ,2018-12,$ 0.00263,"366.93x ( +36,593% )","1104.89x ( +110,389.4% )",,,"50% unlocked in the first month of TGE, remaining 50% unlocked in the seventh month",,IEO ,2019-04,$ 0.00263,"366.93x ( +36,593% )","1104.89x ( +110,389.4% )","$ 5,000,000","1,900,000,000",,300 USD,,,,,,,,,,,,,,,,,,,,,,,,,,,
leobitfinex,1000000000,98523950,,,Private/Pre-sale ,2019-05,$ 1.00,5.39x ( +439.1% ),8.16x ( +715.8% ),"$ 1,000,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
algorand,60402219,721727137,,25000000,ICO ,2019-06,$ 2.40,0.3x ( -69.6% ),1.96x ( +96.1% ),"$ 60,402,219","25,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chainlink,32000000,100000000,,,ICO ,2017-09,$ 0.110,"92x ( +9,100.5% )","480.7x ( +47,969.8% )","$ 32,000,000",,,No / 7 ETH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cosmos,,29258616,,,Private/Pre-sale ,2017-03,$ 0.075,"209.67x ( +20,867.4% )","597.23x ( +59,623.1% )",,,,,ICO ,2017-04,$ 0.100,"157.26x ( +15,625.5% )","447.92x ( +44,692.3% )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bit-dao,609261197,1000000000,,200000000,Private/Pre-sale ,2021-06,,,,"$ 230,000,000",,Vested linearly over 12 months.,,IDO ,2021-08,$ 1.42,0.7x ( -29.5% ),2.18x ( +117.6% ),"$ 379,261,197","200,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hedera-hashgraph,100000000,5000000000,,833333333,ICO ,2018-08,$ 0.120,1.04x ( +4.28% ),4.73x ( +372.5% ),"$ 100,000,000","833,333,333",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
filecoin,257000000,196983319,,,ICO ,2017-09,$ 5.00,2.58x ( +158.3% ),"47.45x ( +4,644.6% )","$ 257,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
elrond-gold,5150000,2364084,3800000000,5000000000,Private ,2018-12,$ 0.500,"225.13x ( +22,412.8% )","1083.98x ( +108,298% )","$ 1,900,000","3,800,000,000",,,IEO ,2019-07,$ 0.650,"173.18x ( +17,217.5% )","833.83x ( +83,283.1% )","$ 3,250,000","5,000,000,000",,"Allocation Per Winning Ticket	300 USD (461,538.46 ERD)",,,,,,,,,,,,,,,,,,,,,,,,,,,
sandbox,5455440,300000000,635400000,360000000,IEO ,2020-08,$ 0.00833,"238.15x ( +23,714.9% )","1003.61x ( +100,261.4% )","$ 3,000,000","360,000,000",No lockup,Min = 200 USD or 24000 SAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
axie-infinity,2970000,27000000,10800000,29700000,IEO ,2020-11,$ 0.100,"300.26x ( +29,925.6% )","1645.99x ( +164,498.9% )","$ 2,970,000","29,700,000",No lockup,"Allocation Per Winning Ticket: 200 USD (2,000 AXS)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tezos,230533089,89559212,,,ICO ,2017-07,$ 0.470,5.46x ( +445.7% ),"25.93x ( +2,493.5% )","$ 230,533,089",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
theta-token,20000000,100000000,,,ICO ,2018-01,$ 0.120,"17.35x ( +1,634.9% )","135.75x ( +13,474.8% )","$ 20,000,000",,,1 ETH / TBA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the-graph,25700000,1000000000,3600000000,400000000,ICO ,2020-10,$ 0.03,9.83x ( +882.6% ),"95.39x ( +9,439.1% )","$ 13,000,000","400,000,000",No lockup,"min $1,000 / max $5,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
decentraland,24137000,219367612,,,ICO ,2017-08,$ 0.024,"54.93x ( +5,392.6% )","243.72x ( +24,272.3% )","$ 24,137,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eos,4196874404,102346243,,,ICO ,2018-06,$ 0.990,1.98x ( +98% ),"23.12x ( +2,212.2% )","$ 4,196,874,404",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bittorrent-new,26500000,99000000000000,,,Private/Pre-sale ,2018-12,$ 1.77e-7,"11.04x ( +1,004.4% )","15.25x ( +1,425.4% )","$ 19,300,000",,,,IEO ,2019-01,$ 1.20e-7,"16.29x ( +1,528.9% )","22.5x ( +2,150% )","$ 7,200,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
thor-chain,2300000,50000000,130000000,20000000,IEO ,2019-07,$ 0.032,"177.27x ( +17,626.9% )","662.71x ( +66,171.4% )","$ 320,000","10,000,000",No lockup,,IEO ,2019-07,$ 0.038,"149.28x ( +14,827.9% )","558.08x ( +55,707.5% )","$ 380,000","10,000,000",No lockup,,,,,,,,,,,,,,,,,,,,,,,,,,,,
klaytn,,1071986963,,,Private ,2018-12,$ 0.03,"20.36x ( +1,935.9% )","145.07x ( +14,407.3% )",,,,,Private ,2019-04,$ 0.08,7.63x ( +663.5% ),"54.4x ( +5,340.2% )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fantom,37400000,317500000,,,ICO ,2018-06,$ 0.0438,"15.16x ( +1,415.5% )","79.17x ( +7,816.6% )",,,,,Private/Pre-sale ,2018-06,$ 0.0438,"15.16x ( +1,415.5% )","79.17x ( +7,816.6% )","$ 37,400,000",,3 months,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stepn,9200000,600000000,978000000,420000000,IEO ,2022-03,$ 0.01,"262.85x ( +26,184.9% )","410.17x ( +40,917.4% )","$ 4,200,000","420,000,000",No lockup,Max $15000 per user,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flow,19500000,137206676,,,ICO ,2020-10,$ 0.380,"11.04x ( +1,003.8% )","114.08x ( +11,308.1% )",,,"1 year lock-up, after which fully unlocked",Min bid - $50,ICO ,2020-10,$ 0.100,"41.94x ( +4,094.5% )","433.51x ( +43,251% )","$ 19,500,000",,"50% of tokens become freely transferable after a one year cliff, the remaining 50% vest on a monthly basis over the following year","up to $1,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
huobi-token,300000000,50000000,,,ICO ,2018-02,$ 1.52,5.65x ( +464.7% ),"26.23x ( +2,522.9% )","$ 300,000,000",,,100 USD / 100000 USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
waves,,10000000,,,ICO ,2018-05,$ 0.188,"68.66x ( +6,765.9% )","333.5x ( +33,249.8% )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
quant,15000000,1461249,,,ICO ,2018-04,$ 1.51,"55.35x ( +5,434.6% )","281.42x ( +28,041.9% )","$ 15,000,000",,,1 ETH / TBA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zilliqa,22000000,2100000000,,,ICO ,2018-01,$ 0.0038,"19.95x ( +1,895.4% )","67.64x ( +6,664.2% )","$ 22,000,000",,,2 ETH / 5 ETH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nexo,52500000,100000000,,,ICO ,2018-04,$ 0.100,"18.28x ( +1,727.5% )","40.39x ( +3,938.5% )","$ 52,500,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arweave,8700000,6459864,,,ICO ,2018-06,$ 0.720,"27.46x ( +2,645.7% )","125.89x ( +12,489.4% )","$ 8,700,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
synthetix,30000000,25962650,,,ICO ,2018-02,$ 0.670,6.28x ( +528.2% ),"42.98x ( +4,198.3% )","$ 30,000,000",,,No / 5000 USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gatechain-token,83000000,30000000,,,IEO ,2019-04,$ 0.400,"15.41x ( +1,441.5% )","32.77x ( +3,177.4% )","$ 83,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
enjin-coin,22959609,100000000,,,ICO ,2017-11,$ 0.0512,"18.88x ( +1,788.4% )","95.15x ( +9,414.9% )","$ 22,959,609",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
harmony,5000000,1315604484,,1575000000,Private/Pre-sale ,2018-12,$ 0.0065,10.99x ( +999.2% ),"58.27x ( +5,726.8% )",,,,,IEO ,2019-05,$ 0.00317,"22.5x ( +2,150.2% )","119.29x ( +11,828.9% )","$ 5,000,000","1,575,000,000",,depends on BNB holdings.,,,,,,,,,,,,,,,,,,,,,,,,,,,
basic-attention-token,,150000000,,,ICO ,2017-05,$ 0.04,"13.84x ( +1,283.5% )","48.48x ( +4,747.9% )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
blockstack,28000000,135246460,78333333,62000000,ICO ,2019-09,$ 0.300,2.62x ( +161.7% ),10.68x ( +967.7% ),"$ 18,600,000","62,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
loopring,,137387343,,,ICO ,2017-08,$ 0.06,"11.1x ( +1,010.2% )","63.02x ( +6,202% )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
celsius,50000000,69344350,,,ICO ,2018-03,$ 0.300,6.29x ( +529.1% ),"26.73x ( +2,573.5% )","$ 50,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mina-protocol,48150000,91601945,,75000000,ICO ,2021-04,$ 0.250,6.48x ( +548.3% ),"26.03x ( +2,503.2% )","$ 18,750,000","75,000,000","Tokens unlock May 31, 2021",$50 / $500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
celo,46000000,100000000,,10000000,Private ,2018-01,$ 0.180,"12.52x ( +1,152.2% )","53.1x ( +5,209.6% )","$ 6,000,000",,,,Private ,2019-01,$ 1.00,2.25x ( +125.4% ),9.56x ( +855.7% ),"$ 30,000,000",,4 Years Vesting,,ICO ,2020-05,$ 1.00,2.25x ( +125.4% ),9.56x ( +855.7% ),"$ 10,000,000","10,000,000",,Min 100 USD,,,,,,,,,,,,,,,,,,
holo,20388500,17761943354,,,ICO ,2018-04,$ 0.0002,"18.96x ( +1,795.7% )","156.47x ( +15,547.1% )","$ 20,388,500",,,0.1 ETH / TBA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kava,8480750,19331474,40000000,6521739,Private ,2019-06,$ 0.075,"45.21x ( +4,421.2% )","121.96x ( +12,096.3% )","$ 2,253,750","30,050,000",1 year cliff with quarterly releases over 2 years,,Private ,2019-07,$ 0.250,"13.56x ( +1,256.3% )","36.59x ( +3,558.9% )","$ 1,255,000","5,020,000",6 month cliff with quarterly releases over 2 years,,Private ,2019-08,$ 0.400,8.48x ( +747.7% ),"22.87x ( +2,186.8% )","$ 1,972,000","4,930,000",6 month cliff with quarterly releases over 2 years,,IEO ,2019-10,$ 0.460,7.37x ( +637.1% ),"19.89x ( +1,888.5% )","$ 3,000,000","6,521,739",Token Distribution within 15 days after end of token sale,,,,,,,,,,
anchor-protocol,100000000,100000000,,,IDO ,2021-03,$ 0.05,"31.86x ( +3,085.6% )","166.21x ( +16,520.9% )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kadena,35150000,100000000,10800000,30000000,ICO ,2019-11,$ 0.500,6.19x ( +518.8% ),"56.01x ( +5,501.2% )","$ 10,000,000","20,000,000",one year lockup,,ICO ,2019-11,$ 1.00,3.09x ( +209.4% ),"28.01x ( +2,700.6% )","$ 10,000,000","10,000,000",no lockup,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glimmer,31900000,101839052,260000000,100000000,ICO ,2021-09,$ 0.250,8.42x ( +742.1% ),"102.63x ( +10,163.4% )","$ 24,500,000","100,000,000",40-day lock with no vesting schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gnosis-gno,,1000000,,,ICO ,2017-04,$ 25.51,10.71x ( +970.7% ),"25.6x ( +2,460.2% )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x,24000000,100000000,,,ICO ,2017-08,$ 0.048,"12.87x ( +1,186.7% )","52.74x ( +5,173.8% )","$ 24,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oasis-network,45000000,1000000000,,31500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
omisego,25000000,14024539,,,ICO ,2017-06,$ 0.350,10.86x ( +986.4% ),"81.01x ( +8,000.5% )","$ 25,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
serum,1020000,109284498,,6000000,IEO ,2020-08,$ 0.170,9.87x ( +887% ),"82.22x ( +8,122.5% )","$ 510,000","3,000,000",Locked till Aug 11,Min 5000 SRM,IEO ,2020-08,$ 0.170,9.87x ( +887% ),"82.22x ( +8,122.5% )","$ 510,000","3,000,000",Locked till Aug 11,Min 2500 SRM,,,,,,,,,,,,,,,,,,,,,,,,,,,
iostoken,31255000,2318978393,,,ICO ,2018-01,$ 0.01,2.14x ( +114.3% ),"13.65x ( +1,265% )","$ 31,255,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iotex,14025000,949626682,,,ICO ,2018-02,$ 0.007,7.38x ( +638.1% ),"38.19x ( +3,719.5% )","$ 14,025,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bancor,153000000,26525857,,,ICO ,2017-06,$ 3.92,0.47x ( -53.5% ),2.82x ( +181.9% ),"$ 153,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
icon,42750000,92969993,,,ICO ,2017-09,$ 0.110,5.68x ( +467.6% ),"114.9x ( +11,389.7% )","$ 42,750,000",,,0.01 ETH / 30 ETH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
just,4866840,990000000,1089000000,396000000,Private ,2020-02,$ 0.003,"21.28x ( +2,028.3% )","71.61x ( +7,060.9% )","$ 4,066,920","1,089,000,000",,,IEO ,2020-05,$ 0.00202,"31.61x ( +3,060.9% )","106.35x ( +10,535% )","$ 799,920","396,000,000",,100/5000 USD,,,,,,,,,,,,,,,,,,,,,,,,,,,
skale,5000000,470671502,,167139884,ICO ,2020-09,$ 0.03,4.39x ( +339.2% ),"40.99x ( +3,999.1% )","$ 5,000,000","167,139,884",60 Days,"Maximum: $1,153",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ankr-network,15950000,1000000000,3000000000,500000000,Private/Pre-sale ,2018-07,$ 0.0044,"12.69x ( +1,168.6% )","50.63x ( +4,963.5% )","$ 15,950,000","3,000,000,000",6 months,,ICO ,2018-09,$ 0.0066,8.46x ( +745.7% ),"33.76x ( +3,275.6% )",,"500,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ecomi,780000,75000000000,,780000,IEO ,2019-05,$ 0.000078,"25.3x ( +2,430.3% )","171.54x ( +17,054% )","$ 780,000","780,000",,"The minimum order amount for a single account is 0.02 BTC equivalent OMI, max cap is 0.5 BTC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
swipe,12000000,52439593,19575000,40425000,ICO ,2019-08,$ 0.200,4.36x ( +336% ),"29.82x ( +2,882.4% )","$ 8,085,000","40,425,000",,,Private ,2019-08,$ 0.200,4.36x ( +336% ),"29.82x ( +2,882.4% )","$ 3,915,000","19,575,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
astar-network,2600000,724618305,,800000,IEO ,2022-01,$ 0.250,0.49x ( -51.3% ),1.68x ( +68.4% ),"$ 200,000","800,000",100% unlock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
constellation,,355000000,,,ICO ,2018-06,$ 0.0345,4.47x ( +347.2% ),"13.06x ( +1,205.8% )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apenft,2400000,99999000000000,,19999800000000,IEO ,2021-05,$ 7.20e-8,"18.17x ( +1,717.3% )","119.17x ( +11,816.7% )","$ 288,000","3,999,960,000,000",,,IEO ,2021-05,$ 1.32e-7,9.91x ( +891.3% ),"65x ( +6,400% )","$ 2,112,000","15,999,840,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ontology,,100000000,,,ICO ,2018-01,$ 0.200,2.07x ( +106.7% ),"55.88x ( +5,488.3% )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wax,9600000,377030332,,,ICO ,2017-11,$ 0.320,0.56x ( -44.4% ),"15.66x ( +1,466.3% )","$ 9,600,000",,,No / No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
swissborg,50000000,100000000,,,ICO ,2018-01,$ 0.100,3.51x ( +251.4% ),"16.47x ( +1,547.4% )","$ 50,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nucypher,15850000,388539008,390000000,,Private ,2016-09,,,,"$ 750,000",,,,Private ,2017-12,$ 0.0142,"19.33x ( +1,833.3% )","166.55x ( +16,555.3% )","$ 4,400,000","310,000,000",,,Private ,2019-07,$ 0.130,2.11x ( +111.2% ),"18.19x ( +1,719.3% )","$ 10,700,000","80,000,000",,,,,,,,,,,,,,,,,,,,
immutable-x,42480000,200000000,285200000,106000000,IEO ,2021-11,$ 0.160,8.43x ( +743.1% ),"59.51x ( +5,851.2% )","$ 960,000","6,000,000",,200$ max.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
